2024-05-19 20:31:19.435 | INFO     | utils:log_output:58 - 进程50494: LassoLogistic————IS:               Params: code——A; rolling_period——624; C——0.5; penalty——l2               Sharpe: 0.2743468751055719
2024-05-19 20:31:24.543 | INFO     | utils:log_output:58 - 进程50487: LassoLogistic————IS:               Params: code——A; rolling_period——624; C——1; penalty——l1               Sharpe: 0.3566565343671668
2024-05-19 20:31:27.213 | INFO     | utils:log_output:58 - 进程50488: LassoLogistic————IS:               Params: code——A; rolling_period——624; C——1; penalty——l2               Sharpe: 0.27790784507402316
2024-05-19 20:31:32.639 | INFO     | utils:log_output:58 - 进程50489: LassoLogistic————IS:               Params: code——A; rolling_period——624; C——5; penalty——l1               Sharpe: 0.32222581915973003
2024-05-19 20:31:34.880 | INFO     | utils:log_output:58 - 进程50490: LassoLogistic————IS:               Params: code——A; rolling_period——624; C——5; penalty——l2               Sharpe: 0.27790784507402316
2024-05-19 20:31:39.839 | INFO     | utils:log_output:58 - 进程50491: LassoLogistic————IS:               Params: code——A; rolling_period——624; C——10; penalty——l1               Sharpe: 0.3149709007279935
2024-05-19 20:31:41.376 | INFO     | utils:log_output:58 - 进程50492: LassoLogistic————IS:               Params: code——A; rolling_period——624; C——10; penalty——l2               Sharpe: 0.27790784507402316
2024-05-19 20:31:45.002 | INFO     | utils:log_output:58 - 进程50493: LassoLogistic————IS:               Params: code——A; rolling_period——624; C——50; penalty——l1               Sharpe: 0.27790784507402316
2024-05-19 20:31:46.017 | INFO     | utils:log_output:58 - 进程50494: LassoLogistic————IS:               Params: code——A; rolling_period——624; C——50; penalty——l2               Sharpe: 0.27790784507402316
2024-05-19 20:31:54.129 | INFO     | utils:log_output:60 - LassoLogistic————OS:               Params: code——A; rolling_period——416; C——0.5; penalty——l2               Sharpe: 0.5267559110021974
